ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,WALS_Code
selk1253,Selkup (BJ),,,,selk1253,sel,skp
shos1248-2,Shoshone (BJ),,,,shos1248,shh,sho
sina1266,Sinaugoro (BJ),,,,sina1266,snc,sng
slavebj,Slave (BJ),,,,,,sla
sooo1256,So (BJ),,,,sooo1256,teu,so
soma1255,Somali (BJ),,,,soma1255,som,som
pedi1238,Sotho (Northern) (BJ),,,,pedi1238,nso,stn
stan1288,Spanish (BJ),,,,stan1288,spa,spa
sude1239,Sudest (BJ),,,,sude1239,tgo,sud
suen1241,Suena (BJ),,,,suen1241,sue,sue
sund1252,Sundanese (BJ),,,,sund1252,sun,sun
east2440,Taba (BJ),,,,east2440,mky,tab
taga1270,Tagalog (BJ),,,,taga1270,tgl,tag
tamangbj,Tamang (BJ),,,,,,tam
tara1313,Tarao (BJ),,,,tara1313,tro,tao
tauy1241,Tauya (BJ),,,,tauy1241,tya,tau
nort2959,Tepehuan (Northern) (BJ),,,,nort2959,ntp,tpn
sout2976,Tepehuan (Southeastern) (BJ),,,,sout2976,stp,tps
teri1250,Teribe (BJ),,,,teri1250,tfr,trb
tern1247,Ternate (BJ),,,,tern1247,tft,trt
tetu1245,Tetun (BJ),,,,tetu1245,tet,ttn
tibe1272,Tibetan (Standard Spoken) (BJ),,,,tibe1272,bod,tib
tido1248,Tidore (BJ),,,,tido1248,tvo,tid
tigr1271,Tigrinya (BJ),,,,tigr1271,tir,tig
tika1246,Tikar (BJ),,,,tika1246,tik,tik
tiri1258,Tinrin (BJ),,,,tiri1258,cir,tin
tiwi1244,Tiwi (BJ),,,,tiwi1244,tiw,tiw
toba1266,Tobati (BJ),,,,toba1266,tti,tbt
rata1244,Toratán (BJ),,,,rata1244,rth,tor
torw1241,Torwali (BJ),,,,torw1241,trw,trw
trum1247,Trumai (BJ),,,,trum1247,tpy,tru
tsat1238,Tsat (BJ),,,,tsat1238,huq,tst
dido1241,Tsez (BJ),,,,dido1241,ddo,tsz
tsha1245,Tshangla (BJ),,,,tsha1245,tsj,tgl
nucl1649,Tsimshian (Coast) (BJ),,,,nucl1649,tsi,tsi
tugu1245,Tugun (BJ),,,,tugu1245,tzn,tgn
tune1241,Tunen (BJ),,,,tune1241,baz,tnn
turk1308,Turkana (BJ),,,,turk1308,tuv,tna
nucl1301,Turkish (BJ),,,,nucl1301,tur,tur
tzut1248,Tzutujil (BJ),,,,tzut1248,tzj,tzu
udmu1245,Udmurt (BJ),,,,udmu1245,udm,udm
uppe1438,Upper Kuskokwim (BJ),,,,uppe1438,kuu,uku
urub1250,Urubu-Kaapor (BJ),,,,urub1250,urb,urk
usan1239,Usan (BJ),,,,usan1239,wnu,usa
viet1252,Vietnamese (BJ),,,,viet1252,vie,vie
walm1241,Walmatjari (BJ),,,,walm1241,wmt,wlm
wamb1258,Wambaya (BJ),,,,wamb1258,wmb,wam
wara1303,Warao (BJ),,,,wara1303,wba,wra
wara1290,Waray (in Australia) (BJ),,,,wara1290,wrz,wry
ward1246,Wardaman (BJ),,,,ward1246,wrr,wrd
ware1253,Warembori (BJ),,,,ware1253,wsa,wrm
warr1255,Warrgamay (BJ),,,,warr1255,wgy,wrg
wira1260,Wirangu (BJ),,,,wira1260,wiw,wir
xamm1241,/Xam (BJ),,,,xamm1241,xam,xam
yagu1244,Yagua (BJ),,,,yagu1244,yad,yag
yany1243,Yanyuwa (BJ),,,,yany1243,jao,yny
yoku1256,Yawelmani (BJ),,,,yoku1256,yok,ywl
yawu1244,Yawuru (BJ),,,,yawu1244,ywr,ywr
yidi1250,Yidiny (BJ),,,,yidi1250,yii,yid
yima1243,Yimas (BJ),,,,yima1243,yee,yim
ying1247,Yingkarta (BJ),,,,ying1247,yia,yng
yiry1245,Yir Yiront (BJ),,,,yiry1245,yiy,yir
nort2745,Yukaghir (Tundra) (BJ),,,,nort2745,ykg,ytu
cent2127-2,Yup'ik (Central) (BJ),,,,cent2127,esu,ypk
sant1451,Zapotec (Quiegolani) (BJ),,,,sant1451,zpi,zaq
zays1235,Zayse (BJ),,,,zays1235,zay,zay
diml1238,Zazaki (BJ),,,,diml1238,diq,zaz
chim1300,Zoque (Chimalapa) (BJ),,,,chim1300,zoh,zch
jingulubj,Jingulu (BJ),,,,,,jgl
chinesekunmingbj,Chinese (Kunming) (BJ),,,,,,
cinsengabj,Cinsenga (BJ),,,,,,
dargibj,Dargi (BJ),,,,,,
cambodianbj,Cambodian (BJ),,,,,,
kiku1240,Gikuyu (BJ),,,,kiku1240,kik,
kapaubj,Kapau (BJ),,,,,,
mapuchebj,Mapuche (BJ),,,,,,
nishnaabemwinbj,Nishnaabemwin (BJ),,,,,,
west2618,Central Arctic Inuktitut,,,,west2618,ikt,
sril1245,Sri Lanka Malay,,,,sril1245,sci,
