Article_title,Authors,BibTeX_type,Book_title,Chapter,City,Editors,Full_reference,Issue_number,Journal,LaTeX_cite_key,Pages,Publisher,Reference_ID,School,URL,Volume,Year,Year_disambiguation_letter
,"Ormazabal, Javier & Juan Romero",misc,Agreement restrictions,,,,"Ormazabal, Javier & Juan Romero. 2002. Agreement restrictions. [Ms.]",,,,,,157,,,,2002,
Aspects of clitic doubling and clitic clusters in Spanish,"Parodi, Teresa",incollection,Models of inflection,,Tübingen,"Fabri, Ray & Albert Ortmann & Teresa Parodi",,,,,85-102,Niemeyer,158,,,,1998,
Surface structure constraints in syntax,"Perlmutter, David M.",article,,,,,,2,Linguistic Inquiry,,187-255,,159,,,1,1970,
,"Perlmutter, David M.",book,Deep and surface structure constraints in syntax,,New York,,,,,,,"Holt, Rinehart and Winston",160,,,,1971,
The morphosyntax of transitivization in Lai (Haka Chin),"Peterson, David A.",article,,,,,,1,Linguistics of the Tibeto-Burman Area,,87-153,,161,,,21,1998,
,"Prince, Alan & Paul Smolensky",book,Optimality Theory: Constraint interaction in generative grammar,,New Brunswick,,"Prince, Alan & Paul Smolensky. 1993. Optimality Theory: Constraint interaction in generative grammar. [Technical report, Rutgers University Center for Cognitive Science.] New Brunswick. Rutgers University.",,,,,Rutgers University,162,,,,1993,
,"Rehg, Kenneth L. & Damian G. Sohl",,Ponapean reference grammar,,Honolulu,,"Rehg, Kenneth L. & Damian G. Sohl. 1981. Ponapean reference grammar. Honolulu. University of Hawaii Press.",,,,,University of Hawaii Press,163,,,,1981,
Copula and double pronominal objects in some Semitic languages,"Retsö, Jan",article,,,,,,,Zeitschrift der Deutschen Morgenländischen Gesellschaft,,219-245,,164,,,137,1987,
Ojibwa secondary objects,"Rhodes, Richard Alan",incollection,Grammatical relations: a cross-theoretical perspective,,Stanford,"Dziwirek, Katarzyna & Patrick Farrell & Errapel Mejías Bikandi",,,,,401-414,CSLI,165,,,,1990,
L’ordre des clitiques objets en français moderne,"Roegiest, Eugeen",article,,,,,,,Travaux de Linguistique,,145-157,,166,,,"Université de Gand, 14-15",1987,
,"Rohlfs, Gerhard",book,Grammatica storica della lingua italiana e dei suoi dialetti,,Torino,,"Rohlfs, Gerhard. 1969. Grammatica storica della lingua italiana e dei suoi dialetti. Torino. Einaudi.",,,,,Einaudi,167,,,,19691954,
Rethinking Southern Tiwa: The geometry of a triple-agreement language,"Rosen, Carol",article,,,,,,4,Language,,669-713,,168,,,66,1990,
,"Ruoff, Arno",,Häufigkeitswörterbuch gesprochener Sprache,,Tübingen,,"Ruoff, Arno. 1981. Häufigkeitswörterbuch gesprochener Sprache. Tübingen. Niemeyer.",,,,,Niemeyer,169,,,,1981,
The Takelma language of southwestern Oregon,"Sapir, Edward",incollection,Handbook of American Indian Languages,,Washington,"Boas, Franz",,,,,1-296,Government Printing Office,170,,,,1922,
Clitic pronoun clusters,"Seuren, Pieter A. M.",article,,,,,,,Italian Linguistics,,7-36,,171,,,2,1976,
From anaphoric pronoun to grammatical agreement marker: why objects don’t make it,"Siewierska, Anna",article,,,,,,2,Folia Linguistica,,225-251,,172,,,33,1999,
,"Soukka, Maria",,A descriptive grammar of Noon: A Cangin language of Senegal,,Munich,,"Soukka, Maria. 2000. A descriptive grammar of Noon: A Cangin language of Senegal. Munich. Lincom Europa.",,,,,Lincom Europa,173,,,,2000,
,"Togeby, Knud",,Grammaire française. Vol. I: Le nom,,Copenhague,,"Togeby, Knud. 1982. Grammaire française. Vol. I: Le nom. Copenhague. Akademisk Forlag.",,,,,Akademisk Forlag,174,,,,1982,
Introduction,"Traugott, Elizabeth Closs & Bernd Heine",incollection,"Approaches to Grammaticalization, Vol. I.",,Amsterdam,"Traugott, Elizabeth C. & Bernd Heine",,,,,1-14,John Benjamins,175,,,,1991,
A feature-based analysis of Georgian morphology. Case study: object agreement.,"Vamling, Karina",incollection,Studia Caucasologica I,,Oslo,"Thordarson, Fridrik","Vamling, Karina. 1988. A feature-based analysis of Georgian morphology. Case study: object agreement. in: Thordarson, Fridrik (ed.). Studia Caucasologica I. Proceedings of the Third Caucasian Colloquium, Oslo, July 1986. Oslo. Norwegian University Press. pp. 309-319.",,,,309-319,Norwegian University Press,177,,,,1988,
Aspects of Lakhota syntax,"Van Valin, Robert D., Jr.",phdthesis,,,Berkeley,,,,,,,University of California,178,,,,1977,
Dobavka kâm praviloto za slovoreda na enklitikite v bâlgarski ezik,"Vasilev, Xristo",article,,,,,,,Bâlgarski ezik,,176-76,,179,,,19,1969,
Causality in language change: Theories of linguistic preferences as a basis for linguistic explanations,"Vennemann, Theo",article,,,,,,,Folia Linguistica Historica,,5-26,,180,,,4,1983,
,"Vormann, Franz & Wilhelm Scharfenberger",,Die Monumbo-Sprache: Grammatik und Wörterverzeichnis,,Wien,,"Vormann, Franz & Wilhelm Scharfenberger. 1914. Die Monumbo-Sprache: Grammatik und Wörterverzeichnis. Anthropos Linguistische Bibliothek. Internationale Sammlung linguistischer Monographien, 1. Wien. Mechitharisten-Buchdruckerei.",,,,,Mechitharisten-Buchdruckerei,181,,,,1914,
On the order of clitics in Italian,"Wanner, Dieter",article,,,,,.,,Lingua,,101-128,,182,,,43,1977,
,"Wanner, Dieter",book,The development of Romance clitic pronouns: from Latin to Old Romance,,Berlin,,,,,,,Mouton de Gruyter,183,,,,1987,
"Modern Greek clitic pronouns and the ""surface structure constraints"" hypothesis","Warburton, Irene P.",article,,,,,,,Journal of Linguistics,,259-281,,184,,,13,1977,
,"Werner, Ingegerd",book,Die Personalpronomen im Zürichdeutschen,,Stockholm,,"Werner, Ingegerd. 1999. Die Personalpronomen im Zürichdeutschen. Lunder germanistische Forschungen, 63. Stockholm: Almqvist & Wiksell.",,,,,Almqvist & Wiksell,185,,,,1999,
,"Zipf, George K.",book,The psycho-biology of language: an introduction to dynamic philology,,,,,,,,,Houghton Mifflin,186,,,,1935,
Object positions,"Johnson, Kyle",article,,,,,,,Natural Language and Linguistic Theory,,577-639,,187,,,9,1991,
Wolof: a language without direct object,"Schwartz, Arthur",article,,,,,,2,Journal of West African Languages,,219-267,,188,University of California,,10,1975,
New facts from Fongbe on the double object constructions,"Lefebvre, Claire",article,,,,,,2,Lingua,ch03lefebvre1994,69-123,,189,,,94,1994,
The Relationship between Dative and Locative: Kurylowicz's Argument from a Typological Perspective,"Aristar, Anthony Rodrigues",article,,,,,,2,Diachronica,,207-224,,190,,,13,1996,
"The thematic and syntactic status of Ps: The dative, directional, locative distinction","Botwinik-Rotem, Irena",incollection,Research in Afroasiatic Grammar II,,Amsterdam,"Lecarme, Jacqueline",,,,,79-104,John Benjamins,191,,,,2003,
Branching and Discharge,"Haider, Hubert",incollection,Lexical Specification and Insertion,,Amsterdam,"Coopmans, Peter & Martin Everaert & Jane Grimshaw",,,,,135-164,John Benjamins,192,,,,2000,
The syntax-pragmatics interface and Finnish ditransitive verbs,"Kaiser, Elsi",incollection,"Proceedings of ConSOLE IX in Lund, 2000",,,"van Koppen, Marjo & Erica Thrift & Erik Jan van der Torre & Malte Zimmermann","Kaiser, Elsi. 2002. The syntax-pragmatics interface and Finnish ditransitive verbs. in: van Koppen, Marjo & Erica Thrift & Erik Jan van der Torre & Malte Zimmermann (eds.). Proceedings of ConSOLE IX in Lund, 2000.",,,,,,193,,,,2002,
Direkte indirekte Objekte: Was uns lehren lehrt,"Plank, Frans",article,,,,,,,Leuvense Bijdragen,,37-61,,194,,,76,1987,
Grammatical relations in Spanish triactant clauses,"García-Miguel, José M.",incollection,Issues in Cognitive Linguistics: 1993 Proceedings of the International Cognitive Linguistics Conference,,Berlin,"de Stadler, Leon & Christoph Eyrich",,,,,447-469,Mouton de Gruyter,195,,,,1999,
Biactant Spanish clauses: Syntactic markedness and semantic prototype,"Vázquez Rozas, Victoria",incollection,Issues in Cognitive Linguistics: 1993 Proceedings of the International Cognitive Linguistics Conference,,Berlin,"de Stadler, Leon & Christoph Eyrich",,,,,491-504,Mouton de Gruyter,196,,,,1999,
Bitransitive clauses,"Blansitt, Edward L., Jr.",article,,,,,"Blansitt, Edward L., Jr., 1973. Bitransitive clauses. in: Stanford University: Working Papers on Language Universals 13: 1-26.",,Working Papers on Language Universals,ch01blansitt1973,1-26,Stanford University,197,,,13,1973,
Dechticaetiative and dative,"Blansitt, Edward L., Jr.",incollection,Objects: Towards a Theory of Grammatical Relations,,London,"Plank, Frans",,,,ch01blansitt1984,127-150,Academic Press,198,,,,1984,
Datives and Allatives,"Blansitt, Edward L., Jr.",incollection,Studies in Syntactic Typology,,Amsterdam,"Hammond, Michael & Edith A. Moravcsik & Jessica R. Wirth",,,,ch01blansitt1988,173-191,John Benjamins,199,,,,1988,
Person agreement and the determination of alignment,"Siewierska, Anna",article,,,,,,2,Transactions of the Philological Society,,339-370,,200,,,101,2003,
Ditransitivité en cavineña: constructions à objet double,"Guillaume, Antoine",article,,,,,,,Amerindia,ch05guillaume2008,,,201,Université de Lyon,,31,2008,
Double object constructions in Thai revisited,"Wilawan, Supriya",incollection,"Grammatical analysis: morphology, syntax, and semantics. Studies in Honor of Stanley Starosta",,Honolulu,"De Guzman, Videa P. & Byron Bender",,,,ch13wilawan2000,209-223,University of Hawaii Press,202,,,,2000,
Indirect objects in Kinyarwanda revisited,"Dryer, Matthew S.",incollection,Studies in Relational Grammar 1.,,Chicago,"Perlmutter, David M.",,,,,129-140,The University of Chicago Press,203,,,,1983,
Evidence That Indirect Object Movement is a Structure Preserving Rule,"Emonds, Joseph E.",misc,Foundations of Language 8,,,,,,,,546-561,,204,,,,1972,
The Double Object Construction in Danish,"Herslund, Michael",incollection,Topics in Scandinavian Syntax,,Dordrecht,"Hellan, Lars & K. Koch Christensen",,,,,125-147,Reidel,205,,,,1986,
The Grammatical Status of the English Dative Alternation,"Oehrle, Richard Thomas",phdthesis,,,Cambridge,,"Oehrle, Richard. 1976. The Grammatical Status of the English Dative Alternation. Cambridge: MIT. [Ph.D. Dissertation.]",,,,,MIT,206,,,,1976,
The Role and Reference Grammar analysis of three-place predicates,"Van Valin, Robert D., Jr.",misc,,,,,"Van Valin, Robert D., Jr. 2001. The Role and Reference Grammar analysis of three-place predicates. University at Buffalo.",,,,,University at Buffalo.,207,,,,2001,
English and German constraints on dative movement,"Hameyer, Klaus",misc,Word 30.,,,,.,,,,235-244,,208,,,,1979,
Possession and the double-object construction,"Harley, Heidi",incollection,"Linguistic Variation Yearbook, 2",,Amsterdam,"Pica, Pierre & Johan Rooryck",,,,,31-70,John Benjamins,209,,,,2002,
,"Evans, Nicholas D.",,"A Grammar of Kayardild, with Historical-Comparative Notes on Tangkic",,Berlin,,"Evans, Nicholas D. 1995. A Grammar of Kayardild, with Historical-Comparative Notes on Tangkic. Mouton Grammar Library, 15. Berlin: Mouton de Gruyter.",,,,,Mouton de Gruyter,211,,,,1995,
Cláusulas de objetos dobles en yaqui. (Objetos dobles y relaciones gramaticales: el caso del yaqui?),"Rude, Noel",book,Memorias del III Encuentro de Lingüística en el Noroeste,,Hermosillo,,,,,,491-522,Editiorial Unison,212,,,,1996,
"El participante no-sujeto en Cora: orden de palabras, codificación y marcación de número","Vázquez Soto, Verónica",book,Memorias del III Encuentro de Lingüística del Noroeste,,México,,,,,,533-554,Universidad de Sonora,213,,,,1996,
The Dative - an Oblique Case,"Vogel, Ralf & Markus Steinbach",incollection,,,,,,,Linguistische Berichte,,65-90,,214,,,173,1998,
Der Dativ im Deutschen - eine Verständnishilfe für das Phänomen der gespaltenen Ergativität,"Meinunger, André",article,,,,"Schlobinski, Peter & Niel-Christian Heins","Meinunger, André. 2007. Der Dativ im Deutschen - eine Verständnishilfe für das Phänomen der gespaltenen Ergativität. Linguistische Berichte, 209: 3-33.",,Linguistische Berichte,,3-33,,215,,,209,2007,
Two Types of Ditransitive Constructions in Japanese,"Matsuoka, Mikinari",article,,,,,,,Journal of East Asian Linguistics,,171-203,,216,,,12,2003,
The Relationship between Form and Function in Ditransitive Constructions (Dissertation),"Snyder, Kieran",phdthesis,,,,,"Snyder, Kieran. 2003. The Relationship between Form and Function in Ditransitive Constructions. University of Pennsylvania.",,,,,University of Pennsylvania,217,University of Pennsylvania,,,2003,
Argument Order Alternations in Dutch.,"van der Beek, Leonoor",inproceedings,Proceedings of the LFG04 Conference,,,,"van der Beek, Leonoor. 2004. Argument Order Alternations in Dutch.
Proceedings of the LFG.",,,,,CSLI,218,,,,2004,
"Object-, animacy- and role-based strategies. A typology of object marking","Kittilä, Seppo",article,,,,,,1,Studies in Language,,1-32,,219,,,30,2006,
"Justifying part-of-speech assignments
for Mandarin gei","Her, One-Soon",article,,,,,,,Lingua,,1274-1302,,220,,,116,2006,
Dative Alternation in Brasilian Portuguese: Typology and Constraints,"Gomes, Christina Abreu",article,,,,,,,Language Design,,67-78,,221,,,5,2003,
Three-place predicates: A cognitive-linguistic perspective,"Newman, John",article,,,,,,,Language Sciences,,145-163,,222,,,27,2005,
,"Gerlach, Birgit",,Restrictions on Clitic Sequences and Conditions on the Occurrence of Clitics in Romance,,,,"Gerlach, Birgit. 1998. Restrictions on Clitic Sequences and Conditions on the Occurrence of Clitics in Romance. Arbeiten des Sonderforschungsbereichs 282: Theorie des Lexikons, 105.",,,,,,223,,,,1998,b
Focus in Double Object Constructions,"Göbbel, Edward",,,,,,,3,Linguistics,,237-274,,224,Universität Tübingen,,43,2005,
Was geschieht mit dem dritten Argument? Realisierungstypen für den Rezipienten und das Ziel,"Wunderlich, Dieter",,,,Berlin,,"Wunderlich, Dieter. 2003. Was geschieht mit dem dritten Argument?Realisierungstypen für den Rezipienten und das Ziel. Berlin: ZAS.",,,,,ZAS,225,,,,2003,
I gave it him – on the motivation of the ‘alternative double object construction' in varieties of British English,"Gast, Volker",,,,,,"Gast, Volker. 2006. I gave it him – on the motivation of the ‘alternative double object construction’ in varieties of British English.",,,,,,226,,,,2006,
,"van Engelenhoven, Aone",,"Leti, a Language of Southwest Maluku",,Leiden,,"Engelenhoven, Aone van. 2004. Leti, A Language of Southwest Maluku. Leiden. KITLV Press.",,,,,KITLV Press,229,,,,,
,"Everett, Daniel L. & Barbara Kern",book,Wari’,,London,,"Everett, Daniel L. & Barbara Kern. 1997. Wari’. London. Routledge.",,,ch001everettkern1997,,Routledge,230,,,,1997,
"Two ways of suspending object agreement in Puma: between incorporation, antipassivization, and optional agreement","Bickel, Balthasar & Martin Gaenszle & Arjun Rai & Prem Dhoj Rai & Shree Kumar Rai & Vishnu S. Rai & Narayan P. Sharma (Gautam)",article,,,,,,,Himalayan Linguistics,ch001bickelgaenszlerairairairaisharma2007,1-18,,231,,http://www.linguistics.ucsb.edu/HimalayanLinguistics/articles/2007/HLJ07_Bickel_Puma.pdf,7,2007,
Grammatical Relations in Huichol,"Comrie, Bernard",,Studies in Transitivity,,New York,"Hopper, Paul & Sandra A. Thompson",,,,ch05comrie1982,95-115,Academic Press,232,,,,1982,
Between shifts and alternations: Ditransitive constructions,"Kordoni, Valia",inproceedings,Proceedings of the HPSG04 Conference,,Stanford,"Müller, Stefan",,,,ch01kordoni2004,150-166,CSLI Publications,233,,,,2004,
,"Nikolaeva, Irina & Maria Tolskaya",book,A Grammar of Udihe,,Berlin,,"Nikolaeva, Irina & Maria Tolskaya. 2001. A Grammar of Udihe. Berlin: Mouton de Gruyter.",,,ch10nikolaevatolskaya2001,,Mouton de Gruyter,234,,,,2001,
,"Watters, David E.",,A Grammar of Kham,,Cambridge,,"Watters, David E. 2002. A Grammar of Kham. Cambridge: Cambridge University Press.",,,,,Cambridge University Press.,235,,,,2002,
,"Aikhenvald, Alexandra Y.",,"A Grammar of Tariana, from northwest Amazonia",,Cambridge,,"Aikhenvald, Alexandra Y. 2006 (2003). A Grammar of Tariana, from northwest Amazonia. Cambridge. Cambridge University Press.",,,,,Cambridge University Press,236,,,,2003,
,Natchanan Yaowapat,,,,,,Natchanan Yaowapat (p.c.),,,,,,238,,,,,
,"Valenzuela, Pilar M.",phdthesis,Dissertation: Transitivity in Shipibo-Konibo Grammar,,University of Oregon,,"Valenzuela, Pilar M. 2003. Transitivity in Shipibo-Konibo Grammar. University of Oregon.",,,,,,239,,,,2003,
,"Nedjalkov, Igor V.",book,Evenki,,London,,"Nedjalkov, Igor. 1997. Evenki. London: Routledge.",,,ch10nedjalkov1997,,Routledge,240,,,,1997,
,"Cole, Peter",book,Imbabura Quechua,,Amsterdam,,"Cole, Peter. 1982. Imbabura Quechua. Lingua Descriptive Studies, Vol 5. Amsterdam: North-Holland Publishing Company.",,,ch001cole1982,,North-Holland Publishing,241,,,,1982,
,"Lehmann, Thomas",,A Grammar of Modern Tamil,,Pondicherry,,"Lehmann, Thomas. 1993. A Grammar of Modern Tamil. Pondicherry, India: Pondicherry Institute of Linguistics and Culture.",,,,,Pondicherry Institute of Linguistics and Culture,242,,,,1993,
Double Object and Serial Verb Benefactive Constructions in Cantonese,"Bodomo, Adams B. & Olivia S.-C. Lam & Natalie S.S. Yu",inproceedings,Proceedings of the LFG03 Conference,,Stanford,"Butt, Miriam & Tracy Holloway King",.,,,,,CSLI Publications,243,,,,2003,
Simple Sentences in Malagasy,"Randriamasimanana, Charles",incollection,Streams Converging Into an Ocean: Festschrift in Honor of Professor Paul Jen-kuei Li on his 70th Birthday,,Taipei,"Chang, Henry Y. & Lillian M. Huang & Dah-ah Ho","Randriamasimanana, Charles. 2006. Simple Sentences in Malagasy. in: Chang, Henry Y. & Lillian M. Huang & Dah-ah Ho (eds.). Streams Converging Into an Ocean: Festschrift in Honor of Professor Paul Jen-kuei Li on his 70th Birthday. Taipei: Institute of Linguistics, Academia Sinica.",,,,,"Institute of Linguistics, Adademia Sinica",244,University of Oxford,,,2006,
"Review of: Seiler, Guido 2003. Präpositionale Dativmarkierung im Oberdeutschen","Plank, Frans",,,,,,"Plank, Frans. 2006. Review of Guido Seiler, Präpositionale Dativmarkierung im Oberdeutschen (Wiesbaden, 2003). Linguistic Typology, 10 (3). 441-455.",3,Linguistic Typology,,441-455,,245,,,10,2006,
Semantic and Syntactic Subcategorization in Seri: Recipients and Addressees,"Marlett, Stephen A.",,Hypothesis A/Hypothesis B. Linguistic explorations in honor of David M. Perlmutter,,Cambridge,"Gerdts, Donna B. & John C. Moore & Maria Polinsky",,,,,293-321,MIT Press,246,,,,2010,
Verbs and Constructions: Where Next?,"Levin, Beth",conference,,,,,,,,,,,247,University of Southern California,,,2004,
