Article_title,Authors,BibTeX_type,Book_title,Chapter,City,Editors,Full_reference,Issue_number,Journal,LaTeX_cite_key,Pages,Publisher,Reference_ID,School,URL,Volume,Year,Year_disambiguation_letter
Pronouns in Germanic and Romance languages: an overview,"Cardinaletti, Anna",incollection,Clitics in the languages of Europe,,Berlin,"van Riemsdijk, Henk",,,,,33-82,Mouton de Gruyter,116,,,,1999,
On pronominal clusters in Polish,"Cetnarowska, Bożena",incollection,"Investigations into Formal Slavic Linguistics: Contributions of the Fourth, November 28-30, 2001",,Frankfurt am Main,"Kosta, Peter & Joanna Blaszczak & Jens Frasek & Ljudmila Geist & Marzena Zygis",,,,,13-30,Peter Lang,117,,,,2003,
The Theory of Principles and Parameters,"Chomsky, Noam & Howard Lasnik",incollection,"Syntax, vol. 1",,Berlin,"Jacobs, Joachim & Arnim von Stechow & Wolfgang Sternefeld & Theo Vennemann",,,,,506-569,Walter de Gruyter,118,,,,1993,
The agreement hierarchy,"Corbett, Greville G.",article,,,,,,,Journal of Linguistics,,203-224,,119,,,15,1979,
,"Corbett, Greville G.",book,Number,,Cambridge,,,,,ch02corbett2000,,Cambridge University Press,120,,,,2000,
Competing motivations,"Du Bois, John",incollection,Iconicity in syntax,,Amsterdam,"Haiman, John",,,,,343-365,John Benjamins,123,,,,1985,
Clitic pronouns and topicality in Rumanian,"Farkas, Donka & Kostas Kazazis",article,,,,,,,Chicago Linguistic Society,,75-82,,125,,,16,1980,
"Agreement in Arabic, binding and coherence","Fassi Fehri, Abdelkader",incollection,"Agreement in natural language: Approaches, theories, description",,Stanford,"Barlow, Michael & Charles Ferguson",,,,,107-158,CSLI.,126,,,,1988,
Verbs with two object suffixes: Semitic archaism in its Afroasiatic context,"Gensler, Orin D.",article,,,,,,2,Diachronica,,231-284,,127,,,15,1998,
Optimale Klitiksequenzen,"Gerlach, Birgit",article,,,,,,1,Zeitschrift für Sprachwissenschaft,,35-91,,128,,,17,1998,a
,"Gerlach, Birgit",book,Clitics between syntax and lexicon,,Amsterdam,,,,,,,John Benjamins,129,,,,2002,
Optimal clitic positions and the lexicon in Romance clitic systems,"Grimshaw, Jane",incollection,Optimality-theoretic syntax,,Cambridge,"Legendre, Géraldine & Jane Grimshaw & Sten Vikner",,,,,205-240,MIT Press,130,,,,2001,
Person marking in Walbiri,"Hale, Kenneth",incollection,A festschrift for Morris Halle,,New York,"Anderson, Stephen R. & Paul Kiparsky",,,,,308-344,"Holt, Rinehart & Winston",131,,,,1973,
,"Harris, Alice C.",book,Georgian syntax: a study in relational grammar,,Cambridge.,,,,,,,Cambridge University Press,132,,,,1981,
Why is grammaticalization irreversible?,"Haspelmath, Martin",article,,,,,,6,Linguistics,,1043-1068,,133,,,37,1999,a
